486 Scheme,"{'address': 'Scheme, Kenya', 'bbox': {'northeast': [-0.8731103317100493, 36.51958869522146], 'southwest': [-0.9310510976951631, 36.44232536727854]}, 'city': 'Scheme', 'confidence': 4, 'country': 'Kenya', 'lat': -0.90208071, 'lng': 36.48095703, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-0.9310510976951631, 36.44232536727854, -0.8731103317100493, 36.51958869522146], 'name': 'Scheme, Kenya', 'point': {'type': 'Point', 'coordinates': [-0.90208071, 36.48095703]}, 'address': {'adminDistrict': 'Nakuru', 'countryRegion': 'Kenya', 'formattedAddress': 'Scheme, Kenya', 'locality': 'Scheme'}, 'confidence': 'Low', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [-0.90208071, 36.48095703], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'Nakuru', 'status': 'OK'}"
A P Khumalo,"{'address': 'A.P. Khumalo, South Africa', 'bbox': {'northeast': [-26.372146606445312, 28.169254302978516], 'southwest': [-26.38039207458496, 28.16212272644043]}, 'city': 'Brakpan', 'confidence': 7, 'country': 'South Africa', 'lat': -26.37559509, 'lng': 28.16368866, 'neighborhood': 'A.P. Khumalo', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.38039207458496, 28.16212272644043, -26.372146606445312, 28.169254302978516], 'name': 'A.P. Khumalo, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.37559509, 28.16368866]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'Ekurhuleni', 'countryRegion': 'South Africa', 'formattedAddress': 'A.P. Khumalo, South Africa', 'locality': 'Brakpan', 'neighborhood': 'A.P. Khumalo'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.37559509, 28.16368866], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Abbotsford,"{'address': 'Abbotsford, BC', 'bbox': {'northeast': [49.16984558105469, -122.07256317138672], 'southwest': [49.00217056274414, -122.46143341064453]}, 'city': 'Abbotsford', 'confidence': 1, 'country': 'Canada', 'lat': 49.06303787, 'lng': -122.2513504, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [49.00217056274414, -122.46143341064453, 49.16984558105469, -122.07256317138672], 'name': 'Abbotsford, BC', 'point': {'type': 'Point', 'coordinates': [49.06303787, -122.2513504]}, 'address': {'adminDistrict': 'BC', 'adminDistrict2': 'Fraser Valley', 'countryRegion': 'Canada', 'formattedAddress': 'Abbotsford, BC', 'locality': 'Abbotsford'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [49.06303787, -122.2513504], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'BC', 'status': 'OK'}"
Actonville,"{'address': 'Actonville, South Africa', 'bbox': {'northeast': [-26.20789909362793, 28.31452751159668], 'southwest': [-26.21122932434082, 28.30382537841797]}, 'city': 'Brakpan', 'confidence': 7, 'country': 'South Africa', 'lat': -26.2091465, 'lng': 28.30881882, 'neighborhood': 'Actonville', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.21122932434082, 28.30382537841797, -26.20789909362793, 28.31452751159668], 'name': 'Actonville, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.2091465, 28.30881882]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'Ekurhuleni', 'countryRegion': 'South Africa', 'formattedAddress': 'Actonville, South Africa', 'locality': 'Brakpan', 'neighborhood': 'Actonville'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.2091465, 28.30881882], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Aeroton,"{'address': 'Aeroton, South Africa', 'bbox': {'northeast': [-26.257305145263672, 27.98283576965332], 'southwest': [-26.261550903320312, 27.972890853881836]}, 'city': 'Johannesburg', 'confidence': 7, 'country': 'South Africa', 'lat': -26.25776482, 'lng': 27.97697067, 'neighborhood': 'Aeroton', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.261550903320312, 27.972890853881836, -26.257305145263672, 27.98283576965332], 'name': 'Aeroton, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.25776482, 27.97697067]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Johannesburg', 'countryRegion': 'South Africa', 'formattedAddress': 'Aeroton, South Africa', 'locality': 'Johannesburg', 'neighborhood': 'Aeroton'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.25776482, 27.97697067], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Airfield,"{'address': 'Airfield, Liberia', 'bbox': {'northeast': [6.057379722595215, -8.128273010253906], 'southwest': [6.048964023590088, -8.140046119689941]}, 'city': 'Zone 9', 'confidence': 7, 'country': 'Liberia', 'lat': 6.05309343, 'lng': -8.13482857, 'neighborhood': 'Airfield', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [6.048964023590088, -8.140046119689941, 6.057379722595215, -8.128273010253906], 'name': 'Airfield, Liberia', 'point': {'type': 'Point', 'coordinates': [6.05309343, -8.13482857]}, 'address': {'adminDistrict': 'GG', 'adminDistrict2': 'Tchien', 'countryRegion': 'Liberia', 'formattedAddress': 'Airfield, Liberia', 'locality': 'Zone 9', 'neighborhood': 'Airfield'}, 'confidence': 'Medium', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [6.05309343, -8.13482857], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GG', 'status': 'OK'}"
Alan Manor,"{'address': 'Alan Manor, South Africa', 'bbox': {'northeast': [-26.272789001464844, 27.99812126159668], 'southwest': [-26.2823429107666, 27.988609313964844]}, 'city': 'Johannesburg', 'confidence': 7, 'country': 'South Africa', 'lat': -26.27501488, 'lng': 27.99385262, 'neighborhood': 'Alan Manor', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.2823429107666, 27.988609313964844, -26.272789001464844, 27.99812126159668], 'name': 'Alan Manor, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.27501488, 27.99385262]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Johannesburg', 'countryRegion': 'South Africa', 'formattedAddress': 'Alan Manor, South Africa', 'locality': 'Johannesburg', 'neighborhood': 'Alan Manor'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.27501488, 27.99385262], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Albemarle,"{'address': 'Albemarle, NC', 'bbox': {'northeast': [35.41719436645508, -80.13799285888672], 'southwest': [35.29723358154297, -80.25484466552734]}, 'city': 'Albemarle', 'confidence': 3, 'country': 'United States', 'lat': 35.35227966, 'lng': -80.19953918, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [35.29723358154297, -80.25484466552734, 35.41719436645508, -80.13799285888672], 'name': 'Albemarle, NC', 'point': {'type': 'Point', 'coordinates': [35.35227966, -80.19953918]}, 'address': {'adminDistrict': 'NC', 'adminDistrict2': 'Stanly County', 'countryRegion': 'United States', 'formattedAddress': 'Albemarle, NC', 'locality': 'Albemarle'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [35.35227966, -80.19953918], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'NC', 'status': 'OK'}"
Albemarle Ext 1,"{'address': 'Albemarle, NC', 'bbox': {'northeast': [35.41719436645508, -80.13799285888672], 'southwest': [35.29723358154297, -80.25484466552734]}, 'city': 'Albemarle', 'confidence': 3, 'country': 'United States', 'lat': 35.35227966, 'lng': -80.19953918, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [35.29723358154297, -80.25484466552734, 35.41719436645508, -80.13799285888672], 'name': 'Albemarle, NC', 'point': {'type': 'Point', 'coordinates': [35.35227966, -80.19953918]}, 'address': {'adminDistrict': 'NC', 'adminDistrict2': 'Stanly County', 'countryRegion': 'United States', 'formattedAddress': 'Albemarle, NC', 'locality': 'Albemarle'}, 'confidence': 'Medium', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [35.35227966, -80.19953918], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'NC', 'status': 'OK'}"
Albemarle Ext 2,"{'address': 'Albemarle, NC', 'bbox': {'northeast': [35.41719436645508, -80.13799285888672], 'southwest': [35.29723358154297, -80.25484466552734]}, 'city': 'Albemarle', 'confidence': 3, 'country': 'United States', 'lat': 35.35227966, 'lng': -80.19953918, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [35.29723358154297, -80.25484466552734, 35.41719436645508, -80.13799285888672], 'name': 'Albemarle, NC', 'point': {'type': 'Point', 'coordinates': [35.35227966, -80.19953918]}, 'address': {'adminDistrict': 'NC', 'adminDistrict2': 'Stanly County', 'countryRegion': 'United States', 'formattedAddress': 'Albemarle, NC', 'locality': 'Albemarle'}, 'confidence': 'Medium', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [35.35227966, -80.19953918], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'NC', 'status': 'OK'}"
