price,area,location

1020000,61,Erand Gardens

1500000,92,Bergbron

949000,99,Montana

500000,49,Oakdene

460000,40,Bardene

630000,83,Pretoria West

490000,80,Lindhaven

860000,84,Rivonia

760000,69,Bryanston

460000,65,Paulshof

600000,113,Elsburg

1020000,84,Eye Of Africa Estate

1195000,78,Pretoria North

1390000,68,Roodekrans

745000,55,Zwartkop Golf Estate

1190000,92,Eye Of Africa Estate

1300000,93,Bloubosrand

3500000,72,Bryanston

750000,159,Annlin

1250000,66,Menlo Park

665000,114,Berea

799000,62,Douglasdale

1850000,51,Vanderbijlpark CW 3

835000,48,Daspoort

835000,104,New Redruth

550000,96,Verwoerdpark

465000,90,Sagewood

470000,70,Blue Hills

750000,49,Rensburg

410000,74,Carlswald

550000,46,Sandton Central

695000,97,Arcadia

780000,72,Wilgeheuwel

2500000,103,Hyde Park

750000,71,Douglasdale

1295000,110,Florida

735000,55,Dainfern

700000,134,Jukskei Park

1700000,133,Eden Glen

899000,100,Arcadia

825000,88,Edenburg

1490000,87,Crowthorne AH

1050000,496,Greenstone Hill

910000,104,Illovo

380000,123,Noordwyk

2650000,73,Winchester Hills

1352000,80,Jackal Creek Golf Estate

564590,300,Bryanston West

835000,92,Rynfield

1020000,116,Glen Austin AH

970000,101,Edenburg

830000,83,Brentwood

880000,75,Ferndale

850000,54,Wingate Park

1249000,46,Elarduspark

985000,86,Waterkloof Ridge

860000,61,Sandton Central

620000,83,North Riding

730000,41,Paulshof

1250000,63,Bryanston West

499000,75,Dal Fouche

731000,41,Epsom Downs

850000,65,Diepkloof Zone 3

1195000,93,Greenhills

1099000,58,Kempton Park Central

1350000,65,Magalieskruin

291000,82,Edenvale Central

655000,96,Sunnyside

725000,58,Lonehill

1600000,257,Bryanston

850000,97,Hatfield

1199900,79,Clubview

3800000,103,Horizon View

1599000,96,Vorna Valley

2400000,84,Equestria

1150000,116,Sandringham

895000,51,Roodepark Eco Estate

1895000,660,Bassonia

1680000,43,Ferndale

595000,77,Blue Hills

560000,108,Allen's Nek

550000,70,Fourways

600000,71,Morningside

1800000,81,Sunnyside

650000,83,Knysna Central

895000,78,Roodepark Eco Estate

900000,87,Sinoville

120000,119,Montana

550000,342,Alveda

720000,67,Mooikloof Ridge

860000,85,Montana

1149000,89,Sundowner

680000,136,Morningside

1475000,230,Sandown

460000,89,Sandown

1250000,82,Hyde Park

490000,95,La Montagne

1260000,103,Olympus AH

950000,60,Vorna Valley

999000,71,Montana

570000,82,Helderkruin

280000,97,North Riding

680000,72,Northgate

850000,74,Edleen

590000,64,Linden

2294000,53,Edleen

2450000,68,Primrose

0,78,Houghton Estate

699000,153,Jansenpark

550000,66,Alberante

750000,86,Montana

440000,70,Glen Austin AH

650000,114,Glen Austin AH

930000,69,Ormonde

710000,68,Arcadia

390000,76,Houghton Estate

450000,57,Die Hoewes

950000,95,Benoni Central

425000,101,Fairland

2400000,87,Montana

2999900,74,South Crest

2360000,39,Monavoni

