price,area,location
,0,
1545000,0,Bronkhorstbaai
,0,
2595000,0,Hazeldean
,0,
6300000,0,Lenasia Ext 3
,0,
1400000,0,Riverspray Lifestyle Estate
,0,
1750000,0,Woodhill Golf Estate
,0,
3850000,0,Sky City
,0,
3066000,0,North Riding
,0,
3100000,0,Riversdale
,0,
800000,0,Noordheuwel
,0,
4490000,0,Sharon Park
,0,
1213000,0,Protea Glen
,0,
1300000,0,Roodekop
,0,
1290000,0,Chantelle
,0,
1735000,0,Thatch Hill Estate
,0,
2100000,0,Heuweloord
,0,
1150000,0,Lynnwood Manor
,0,
5950000,0,Menlo Park
,0,
8450000,0,Elandspoort
,0,
890000,0,Thatchfield Estate
,0,
800000,0,Presidents Dam
,0,
2300000,0,Bronberg
,0,
866050,0,Midlands Estate
,0,
2990000,0,Solheim
,0,
4899999,0,Woodhill Golf Estate
,0,
1395000,0,Crystal Park
,0,
1550000,0,Orlando East
,0,
8500000,0,Groblerpark
,0,
450000,0,Carletonville Central
,0,
3150000,0,Three Rivers
,0,
6828080,0,Tsakane Central
,0,
2700000,0,Randpark Ridge
,0,
1475000,0,Ormonde
,0,
1080000,0,Strathavon
,0,
5749000,0,Clayville
,0,
3650000,0,Soshanguve XX
,0,
3650000,0,Lenasia
,0,
5750000,0,Hyde Park
,0,
650000,0,Halfway Gardens
,0,
1100000,0,Celtisdal
,0,
780000,0,Parkhurst
,0,
640000,0,Vanderbijlpark SE 6
,0,
650000,0,Fourways Gardens
,0,
29950000,0,Reigerpark
,0,
1660000,0,Wildtuin Park
,0,
180000,0,Douglasdale
,0,
1700000,0,Bryanston
,0,
3850000,0,The Orchards
,0,
1270000,0,Edenburg
,0,
2550000,0,Bougainvillea Estate
,0,
2995000,0,Eldorado Park
,0,
8500000,0,Glenvista
,0,
2950000,0,Glen Marais
,0,
2900000,0,Norwood
,0,
1195000,0,Cresslawn
,0,
930000,0,Heidelberg Central
,0,
699000,0,Highlands North
,0,
1200000,0,Elarduspark
,0,
13499999,0,Waterkloof Ridge
,0,
680000,0,Brakpan Central
,0,
350000,0,Risiville
,0,
2200000,0,Waterkloof Park
,0,
385000,0,Monument Park
,0,
1800000,0,Vosloorus Ext 6
,0,
970000,0,Vanderbijlpark SE 2
,0,
1295000,0,Garsfontein
,0,
11750000,0,Emmarentia
,0,
1550000,0,Soshanguve South Ext 3
,0,
1585000,0,Vanderbijlpark CE7
,0,
620000,0,Waterfall Country Village
,0,
1650000,0,Tyger Valley
,0,
1300000,0,Discovery
,0,
450000,0,Westdene
,0,
5500000,0,Palm Ridge
,0,
698000,0,Geduld
,0,
4500000,0,Highlands North
,0,
1699000,0,Sebokeng Zone 10
,0,
950000,0,Lenasia South
,0,
1900000,0,Wierda Park
,0,
8550000,0,Soshanguve M
,0,
895000,0,Lyttelton Manor
,0,
4400000,0,Heatherview
,0,
670000,0,Bram Fischerville
,0,
2395000,0,Lonehill
,0,
11655000,0,Parkwood
,0,
980000,0,Lombardy East
,0,
1200000,0,Dainfern Valley Estate
,0,
2999000,0,Fernbrook Estate
,0,
7800000,0,Wonderboom South
,0,
530000,0,Ivory Park
,0,
2095000,0,Parkrand
,0,
3300000,0,Eldoraigne
,0,
1500000,0,Rosslyn
,0,
28000000,0,Vanderbijlpark SW 5
,0,
740000,0,Bedfordview
,0,
920000,0,Florida
,0,
2945000,0,Rietvalleirand
,0,
1890000,0,Bryanston
,0,
825000,0,Laudium
,0,
1620000,0,Broadacres
,0,
6420000,0,Moreleta Park
,0,
6200000,0,President Ridge
,0,
1890000,0,Daspoort
,0,
900000,0,Marlboro Gardens
,0,
3650000,0,North Riding
,0,
