price,area,location
,,
1545000,,Bronkhorstbaai
,,
2595000,,Hazeldean
,,
6300000,,Lenasia Ext 3
,,
1400000,,Riverspray Lifestyle Estate
,,
1750000,,Woodhill Golf Estate
,,
3850000,,Sky City
,,
3066000,,North Riding
,,
3100000,,Riversdale
,,
800000,,Noordheuwel
,,
4490000,,Sharon Park
,,
1213000,,Protea Glen
,,
1300000,,Roodekop
,,
1290000,,Chantelle
,,
1735000,,Thatch Hill Estate
,,
2100000,,Heuweloord
,,
1150000,,Lynnwood Manor
,,
5950000,,Menlo Park
,,
8450000,,Elandspoort
,,
890000,,Thatchfield Estate
,,
800000,,Presidents Dam
,,
2300000,,Bronberg
,,
866050,,Midlands Estate
,,
2990000,,Solheim
,,
4899999,,Woodhill Golf Estate
,,
1395000,,Crystal Park
,,
1550000,,Orlando East
,,
8500000,,Groblerpark
,,
450000,,Carletonville Central
,,
3150000,,Three Rivers
,,
6828080,,Tsakane Central
,,
2700000,,Randpark Ridge
,,
1475000,,Ormonde
,,
1080000,,Strathavon
,,
5749000,,Clayville
,,
3650000,,Soshanguve XX
,,
3650000,,Lenasia
,,
5750000,,Hyde Park
,,
650000,,Halfway Gardens
,,
1100000,,Celtisdal
,,
780000,,Parkhurst
,,
640000,,Vanderbijlpark SE 6
,,
650000,,Fourways Gardens
,,
29950000,,Reigerpark
,,
1660000,,Wildtuin Park
,,
180000,,Douglasdale
,,
1700000,,Bryanston
,,
3850000,,The Orchards
,,
1270000,,Edenburg
,,
2550000,,Bougainvillea Estate
,,
2995000,,Eldorado Park
,,
8500000,,Glenvista
,,
2950000,,Glen Marais
,,
2900000,,Norwood
,,
1195000,,Cresslawn
,,
930000,,Heidelberg Central
,,
699000,,Highlands North
,,
1200000,,Elarduspark
,,
13499999,,Waterkloof Ridge
,,
680000,,Brakpan Central
,,
350000,,Risiville
,,
2200000,,Waterkloof Park
,,
385000,,Monument Park
,,
1800000,,Vosloorus Ext 6
,,
970000,,Vanderbijlpark SE 2
,,
1295000,,Garsfontein
,,
11750000,,Emmarentia
,,
1550000,,Soshanguve South Ext 3
,,
1585000,,Vanderbijlpark CE7
,,
620000,,Waterfall Country Village
,,
1650000,,Tyger Valley
,,
1300000,,Discovery
,,
450000,,Westdene
,,
5500000,,Palm Ridge
,,
698000,,Geduld
,,
4500000,,Highlands North
,,
1699000,,Sebokeng Zone 10
,,
950000,,Lenasia South
,,
1900000,,Wierda Park
,,
8550000,,Soshanguve M
,,
895000,,Lyttelton Manor
,,
4400000,,Heatherview
,,
670000,,Bram Fischerville
,,
2395000,,Lonehill
,,
11655000,,Parkwood
,,
980000,,Lombardy East
,,
1200000,,Dainfern Valley Estate
,,
2999000,,Fernbrook Estate
,,
7800000,,Wonderboom South
,,
530000,,Ivory Park
,,
2095000,,Parkrand
,,
3300000,,Eldoraigne
,,
1500000,,Rosslyn
,,
28000000,,Vanderbijlpark SW 5
,,
740000,,Bedfordview
,,
920000,,Florida
,,
